country,area,time,agri_emp,industry_emp,services_emp,agri_value_add,industry_value_add,services_value_add,gdp_growth,gdp_constant,gdp_per_capita_constant,gdp_ppp_constant,urban_population,rural_population,total_population,unemployment_total,unemployment_male,unemployment_female
GBR,West Europe,YR2010,0.005674235,0.111726601,0.968625448,0.005854751,0.078975886,0.98441963,0.537638708,0.740562068,0.515707622,0.518168452,0.686378854,0.313621146,0.75443532,0.240033223,0.286850921,0.184849732
GBR,West Europe,YR2011,0.005674235,0.110341616,0.969372429,0.020446506,0.062110178,0.966381755,0.47758223,0.751720689,0.518658566,0.524248185,0.693074502,0.306925498,0.760384525,0.250415282,0.289782245,0.204199259
GBR,West Europe,YR2012,0.004672901,0.105263102,0.972858469,0.011695997,0.061772397,0.972031805,0.47868057,0.76287931,0.523085669,0.531275946,0.699745166,0.300254834,0.765717119,0.244186047,0.275963149,0.205846027
GBR,West Europe,YR2013,0.000333778,0.096029545,0.981075646,0.011717656,0.073640108,0.959287109,0.516123099,0.776827586,0.532304209,0.542450332,0.706365862,0.293634138,0.770888468,0.228820598,0.260887772,0.191848497
GBR,West Europe,YR2014,0.007009347,0.100646279,0.973854508,0.029780901,0.054938592,0.967131524,0.614258507,0.799144827,0.545418826,0.563346367,0.712936591,0.287063409,0.776615142,0.170265781,0.194304858,0.141622067
GBR,West Europe,YR2015,0.003004006,0.086334208,0.984312629,0.011206683,0.045418218,0.979434722,0.581411302,0.821462069,0.555298289,0.580669068,0.719457353,0.280542647,0.782823798,0.136627907,0.156197655,0.112803623
GBR,West Europe,YR2016,0.002670228,0.077562253,0.989292822,0,0.019297256,1,0.549404954,0.8382,0.561455325,0.595179636,0.72595313,0.27404687,0.788808388,0.11627907,0.13400335,0.094689172
GBR,West Europe,YR2017,0.003671563,0.067867005,0.993774901,0.004399312,0.02981835,0.993207154,0.537907398,0.857727586,0.568303417,0.609428322,0.732373957,0.267626043,0.794211788,0.096345515,0.113484087,0.075751338
GBR,West Europe,YR2018,0.00066756,0.061865108,0.999253018,0.001622489,0.0333678,0.993111947,0.494814877,0.871675862,0.572521645,0.619814832,0.738744816,0.261255184,0.79906211,0.082641196,0.097571189,0.06422396
GBR,West Europe,YR2019,0,0.061403506,1,0.007483079,0.036865386,0.993034974,0.496688087,0.885624138,0.577824264,0.630948094,0.745090691,0.254909309,0.803604343,0.071843854,0.092127303,0.047344586
